rank,title,egg_index,cumulative_viewers_count,is_re_release,release_date,age_rating,poster_url,crawled_at,source_url
45,호프,85%,452.8만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001297/30001297_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
46,라스트 키스,97%,1만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001411/30001411_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
47,리멤버 미,97%,0,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001413/30001413_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
48,리틀 드래곤-몬스터섬의 비밀,,,개봉예정,2026-09-03,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001344/30001344_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
49,빈집의 연인들,84%,"1,896",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001351/30001351_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
50,사무라이 타임슬리퍼,92%,"3,174",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001225/30001225_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
51,산양들,93%,"6,470",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001313/30001313_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
52,수련,,611,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001336/30001336_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
53,스파이의 아내,,,재개봉,2026-09-02,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000084/84435/84435_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
54,시크릿 에이전트,92%,2만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001235/30001235_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
55,신사-악귀의 속삭임,61%,4.7만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001221/30001221_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
56,싱 스트리트,97%,61.7만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000078/78924/78924_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
57,암살자(들),,,개봉예정,2026-09-23,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001314/30001314_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
58,어느 파리 택배기사의 48시간,99%,"6,731",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001217/30001217_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
59,연옥-살인마들의 자치구역,,,개봉예정,2026-09-09,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001371/30001371_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
60,인턴,,,개봉예정,2026-09-16,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001399/30001399_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
61,정뱅이,,"2,787",개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001207/30001207_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
62,지난 여름,85%,"2,063",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001356/30001356_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
63,지느러미,67%,"9,369",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001303/30001303_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
64,청년 조용기,,,개봉예정,2026-09-11,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001333/30001333_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
65,토이 스토리 5,97%,294.6만,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001231/30001231_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
66,파리의 사생활,92%,1만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001275/30001275_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
67,현재를 위하여,81%,"2,222",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001267/30001267_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
