rank,title,egg_index,cumulative_viewers_count,is_re_release,release_date,age_rating,poster_url,crawled_at,source_url
42,콘크리트 녹색섬,,,개봉예정,2026-08-19,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001362/30001362_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
43,큐어,93%,3.7만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000085/85857/85857_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
44,토이 스토리 5,97%,294.4만,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001231/30001231_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
45,2026 KBO x CGV 야구의 날 뷰잉파티,,,개봉예정,2026-08-23,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001445/30001445_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
46,그림자 아이,77%,"6,348",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001257/30001257_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
47,극장판 귀멸의 칼날-무한성편,,,재개봉,2026-08-26,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000089/89833/89833_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
48,너바나 더 밴드-전설적 밴드 너바나와는 별 관련 없는 너바나 더 밴드의 콤,93%,9.7만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001174/30001174_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
49,노이즈,86%,170.7만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000089/89717/89717_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
50,도그 스타-마지막 희망,,,개봉예정,2026-08-26,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001352/30001352_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
51,리멤버 미,,,개봉예정,2026-08-19,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001413/30001413_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
52,리틀 드리머즈,,,개봉예정,2026-08-19,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001343/30001343_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
53,백룸,85%,121.5만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001188/30001188_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
54,뱀의 길,90%,"4,848",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001324/30001324_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
55,빈집의 연인들,76%,"1,259",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001351/30001351_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
56,사무라이 타임슬리퍼,92%,"3,122",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001225/30001225_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
57,산산조각,,,개봉예정,2026-08-26,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001401/30001401_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
58,산양들,93%,"6,010",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001313/30001313_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
