rank,title,egg_index_raw,cumulative_viewers_raw,release_info_raw,age_rating,poster_url,crawled_at,source_url
39,터치드 콘서트 [하이라이트 포] - 더 무비,99,"5,138 ",,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001382/30001382_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
40,스파이의 아내,93,1.2만,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000084/84435/84435_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
41,알파,,,2026.09.30 개봉,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001453/30001453_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
42,인시디어스-그들이 넘어왔다,90,15.7만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001222/30001222_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
43,2026 LCK 플레이오프 패자조 3R T1 vs Dplus Kia,,0 ,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001460/30001460_320.png,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
44,파라노만,94,1.8만,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000076/76813/76813_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
45,델마,91,"9,247 ",,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000080/80923/80923_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
46,애정만세,86,1.2만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001354/30001354_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
47,파뿌리 24- 좀비 아일랜드,99,"2,209 ",,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001302/30001302_320.png,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
48,2026 KBO 리그 - 삼성 라이온즈 vs LG 트윈스,,0 ,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001456/30001456_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
49,도그 스타-마지막 희망,92,1.5만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001352/30001352_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
50,콘크리트 녹색섬,98,"3,322 ",,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001362/30001362_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
51,파파조라 더 무비,99,"1,038 ",,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001364/30001364_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
52,"97 혜자, 표류기",,,2026.09.09 개봉,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001419/30001419_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
53,고양이를 놓아줘,79,"3,137 ",,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001393/30001393_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
54,귀향-언니야 이제 집에 가자,96,"4,199 ",,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001368/30001368_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
55,네 얼굴로는 울 수 없어,,,2026.09.09 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001366/30001366_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
56,담요를 입은 사람,,,2026.09.09 재개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000089/89029/89029_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
57,말하지 않은 것들,99,634 ,,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001441/30001441_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
